"row ID","UniSMILES","pIC50","SD","hERG_class"
"Row51","C(Oc1cccnc1)[C@H]1CNCCN1c1nc2ncccc2o1",4.14,0.0,"inactive"
"Row52","C(S\C(NC1CCCCC1)=N/C1CCCCC1)C1=CSC2=NCCN12",5.07,0.0,"active"
"Row53","C(c1ccccc1)C1(CCNC1)c1ccc2[nH]ccc2c1",5.05,0.0,"active"
"Row54","C(c1ccccc1)C1(CCNC1)c1ccc2sccc2c1",4.96,0.0,"inactive"
"Row55","C1C(C2=NCCN2)C1(c1ccccc1)c1ccccc1",4.855,0.2899137802864683,"inactive"
"Row56","C1CC(CCN1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",5.29,0.0,"active"
"Row57","C1CC(CCO1)C1NC(Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)C12CC3CC(CC(C3)C1)C2",6.3,0.0,"active"
"Row58","C1CC(CCO1)[C@@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",6.14,0.0,"active"
"Row59","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccc(cc1)-c1ccccc1",7.77,0.0,"active"
"Row60","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",6.42,0.0,"active"
"Row61","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccn1",5.39,0.0,"active"
"Row62","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cccnc1",5.57,0.0,"active"
"Row63","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccncc1",5.12,0.0,"active"
"Row64","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccsc1",6.84,0.0,"active"
"Row65","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1csc2ccccc12",7.06,0.0,"active"
"Row66","C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cscn1",5.36,0.0,"active"
"Row67","C1CC(CCS1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",6.92,0.0,"active"
"Row68","C1CC(CO1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",7.395,0.2899137802865173,"active"
"Row69","C1CC2(CCN1)Oc1ccccc1C(=C2)c1ccccc1",6.17,0.0,"active"
"Row70","C1CC2CC(CC1N2c1ccccc1)c1c([nH]c2ccccc12)-c1ccccc1",7.75,0.0,"active"
"Row71","C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",7.11,0.0,"active"
"Row72","C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccn1",6.7,0.0,"active"
"Row73","C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cccnc1",6.72,0.0,"active"
"Row74","C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccncc1",7.05,0.0,"active"
"Row75","C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cnccn1",6.47,0.0,"active"
"Row76","C1CCC(CC1)c1c[nH]c(n1)C1Cc2c([nH]c3ccccc23)C(N1)C1CCOCC1",6.87,0.0,"active"
"Row77","C1CCN(C1)C12CC(C(CNC1)C(C2)c1ccccc1)c1ccccc1",5.58,0.0,"active"
"Row78","C1CCN(C1)[C@@H]([C@H](N1CCCC1)c1ccccc1)c1ccccc1",4.5,0.0,"inactive"
"Row79","C1CCN(C1)[C@H]([C@@H](N1CCCC1)c1ccccc1)c1ccccc1",4.5,0.0,"inactive"
"Row80","C1CCN(CC1)C1CCN(CC1)c1nc2cnc(cc2s1)-c1cncnc1",5.19,0.0,"active"
"Row81","C1CCN(CC1)C1CCN(CC1)c1nc2ncc(cc2s1)-c1cncnc1",4.63,0.0,"inactive"
"Row82","C1CCN(CC1)[C@@H]([C@H](N1CCCCC1)c1ccccc1)c1ccccc1",4.6,0.0,"inactive"
"Row83","C1CCN(CC1)[C@H]([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1",4.5,0.0,"inactive"
"Row84","C1CN(CCC1C1C(=Nc2ccccc12)c1ccccc1)c1ccccc1",7.1,0.0,"active"
"Row85","C1CN2CCC1C(C2)c1nc(no1)-c1ccc(o1)-c1cccnc1",5.19,0.0,"active"
"Row86","C1CN2CCC1C(C2)c1nnc(o1)-c1ccc(o1)-c1cccnc1",4.7,0.0,"inactive"
"Row87","C1CNCC(C1)c1c([nH]c2ccccc12)-c1ccccc1",5.31,0.0,"active"
"Row88","C1Cc2n[nH]cc2-c2nc(Nc3ccccn3)sc2C1",4.55,0.0,"inactive"
"Row89","C1Cc2n[nH]cc2-c2nc(Nc3ncccn3)sc2C1",4.52,0.0,"inactive"
"Row90","C1Cc2sc(Nc3ccccn3)nc2-c2c[nH]nc12",4.77,0.0,"inactive"
"Row91","C1NCC(CC=C1)c1cc2ccccc2o1",4.72,0.0,"inactive"
"Row92","C1NCC(CC=C1)c1ccc2ccccc2c1",4.81,0.0,"inactive"
